model,year,price,transmission,mileage,fuelType,mpg,engineSize
 Octavia,2019,13990,Manual,17736,Diesel,67.3,1.6
 Yeti Outdoor,2017,15475,Manual,36400,Diesel,55.4,2.0
 Yeti Outdoor,2017,13150,Semi-Auto,19314,Petrol,51.4,1.2
 Kodiaq,2019,25498,Automatic,12321,Diesel,49.6,2.0
 Fabia,2017,7990,Manual,18339,Petrol,58.8,1.0
 Kodiaq,2019,28700,Automatic,3324,Petrol,32.1,1.5
 Citigo,2016,5990,Manual,30524,Petrol,62.8,1.0
 Fabia,2019,11490,Manual,4054,Petrol,51.4,1.0
 Scala,2020,18250,Manual,1284,Diesel,57.7,1.6
 Fabia,2019,10990,Manual,4452,Petrol,61.4,1.0
 Scala,2020,18250,Manual,2735,Diesel,57.7,1.6
 Fabia,2019,10700,Manual,9950,Petrol,61.4,1.0
 Citigo,2018,7990,Manual,5005,Petrol,64.2,1.0
 Octavia,2019,23995,Automatic,4500,Diesel,44.1,2.0
 Fabia,2017,8995,Manual,15750,Petrol,60.1,1.2
 Citigo,2018,9495,Manual,10690,Petrol,68.9,1.0
 Fabia,2018,9592,Manual,8855,Petrol,64.2,1.0
 Octavia,2014,5991,Manual,90004,Diesel,74.3,1.6
 Yeti,2013,10995,Semi-Auto,29627,Diesel,43.5,2.0
 Fabia,2018,6790,Manual,19446,Petrol,57.7,1.0
 Octavia,2018,11998,Manual,12679,Diesel,68.9,1.6
 Superb,2016,13298,Manual,49304,Diesel,68.9,2.0
 Yeti,2016,9360,Semi-Auto,43737,Petrol,51.4,1.2
 Fabia,2016,5641,Manual,28789,Petrol,60.1,1.0
 Superb,2017,14698,Manual,39640,Diesel,68.9,2.0
 Octavia,2019,12798,Manual,14511,Diesel,68.9,1.6
 Octavia,2017,13698,Manual,8814,Petrol,54.3,1.4
 Octavia,2019,24995,Semi-Auto,4500,Petrol,47.9,2.0
 Yeti Outdoor,2017,11995,Manual,20500,Diesel,62.8,2.0
 Fabia,2018,9995,Manual,8200,Petrol,57.7,1.0
 Karoq,2018,18995,Manual,11050,Petrol,52.3,1.5
 Octavia,2019,23995,Automatic,6900,Petrol,46.3,2.0
 Octavia,2019,24995,Automatic,3000,Petrol,38.2,2.0
 Yeti Outdoor,2016,11995,Manual,59790,Diesel,55.4,2.0
 Kodiaq,2018,18995,Manual,13650,Petrol,46.3,1.4
 Rapid,2015,7995,Manual,31670,Petrol,57.7,1.2
 Octavia,2016,9377,Manual,30996,Petrol,55.4,1.4
 Yeti Outdoor,2017,13990,Manual,17876,Diesel,55.4,2.0
 Superb,2019,21995,Automatic,4500,Diesel,62.8,2.0
 Fabia,2019,11995,Manual,5500,Petrol,61.4,1.0
 Fabia,2017,12995,Automatic,9795,Petrol,61.4,1.0
 Octavia,2013,7995,Manual,46166,Petrol,53.3,1.4
 Octavia,2019,15995,Manual,11200,Petrol,52.3,1.5
 Octavia,2019,14995,Manual,13500,Petrol,55.4,1.5
 Kodiaq,2019,25595,Automatic,13500,Diesel,42.2,2.0
 Fabia,2017,8995,Manual,16700,Petrol,58.8,1.0
 Octavia,2015,12995,Semi-Auto,61350,Diesel,60.1,2.0
 Scala,2019,17995,Automatic,3500,Petrol,45.6,1.5
 Superb,2017,19995,Semi-Auto,44520,Petrol,39.8,2.0
 Fabia,2018,10995,Manual,22120,Petrol,64.2,1.0
 Fabia,2015,7995,Manual,34520,Petrol,58.8,1.2
 Fabia,2017,8995,Manual,16950,Petrol,57.7,1.0
 Superb,2019,22995,Automatic,500,Petrol,36.7,1.5
 Fabia,2019,12995,Manual,500,Petrol,57.7,1.0
 Fabia,2019,13995,Manual,500,Petrol,51.4,1.0
 Yeti Outdoor,2017,13995,Semi-Auto,32780,Petrol,51.4,1.2
 Superb,2019,18995,Manual,9075,Petrol,40.9,1.5
 Rapid,2015,7995,Manual,36550,Petrol,60.1,1.2
 Citigo,2016,7995,Manual,18650,Petrol,64.2,1.0
 Fabia,2017,11995,Automatic,14750,Petrol,61.4,1.0
 Fabia,2017,7995,Manual,25480,Petrol,58.9,1.0
 Superb,2019,29995,Semi-Auto,4800,Petrol,33.2,2.0
 Fabia,2018,9495,Manual,26850,Petrol,64.2,1.0
 Karoq,2017,17995,Automatic,16000,Petrol,51.4,1.5
 Fabia,2017,8995,Semi-Auto,67500,Petrol,60.1,1.2
 Yeti Outdoor,2014,10995,Semi-Auto,48265,Diesel,44.8,2.0
 Scala,2019,16995,Manual,6500,Petrol,49.6,1.0
 Fabia,2015,8995,Semi-Auto,9500,Petrol,60.1,1.2
 Fabia,2014,6510,Manual,29665,Petrol,53.3,1.2
 Octavia,2015,11691,Manual,49442,Diesel,64.2,2.0
 Kodiaq,2017,21841,Semi-Auto,13367,Petrol,39.8,1.4
 Octavia,2017,11487,Manual,22127,Diesel,65.7,2.0
 Yeti Outdoor,2017,13491,Semi-Auto,25534,Petrol,51.4,1.2
 Fabia,2018,12997,Semi-Auto,3564,Petrol,60.1,1.0
 Citigo,2015,6391,Manual,10909,Petrol,62.8,1.0
 Rapid,2013,5995,Manual,56090,Diesel,64.2,1.6
 Kodiaq,2020,30995,Automatic,6550,Diesel,44.8,2.0
 Fabia,2017,8995,Manual,42690,Petrol,60.1,1.2
 Yeti Outdoor,2016,13995,Semi-Auto,5520,Petrol,51.4,1.2
 Fabia,2015,7495,Manual,46850,Diesel,78.6,1.4
 Yeti Outdoor,2017,13495,Manual,26570,Petrol,51.4,1.2
 Octavia,2019,18995,Semi-Auto,4800,Petrol,45.6,1.5
 Yeti Outdoor,2016,8995,Manual,55214,Petrol,51.4,1.2
 Yeti,2016,10999,Semi-Auto,23858,Petrol,51.4,1.2
 Yeti Outdoor,2015,9370,Semi-Auto,53719,Petrol,51.4,1.2
 Octavia,2017,15991,Semi-Auto,23645,Diesel,57.7,2.0
 Yeti Outdoor,2015,8470,Manual,69445,Diesel,55.4,2.0
 Fabia,2017,10540,Manual,7741,Petrol,64.2,1.0
 Octavia,2018,13450,Manual,11473,Diesel,68.9,1.6
 Fabia,2018,10625,Manual,14912,Petrol,64.2,1.0
 Fabia,2019,13990,Semi-Auto,4909,Petrol,60.1,1.0
 Kodiaq,2017,19490,Manual,18533,Diesel,52.3,2.0
 Octavia,2016,11498,Semi-Auto,11291,Petrol,58.9,1.4
 Kodiaq,2019,22298,Automatic,18435,Petrol,34.0,1.5
 Octavia,2017,12298,Semi-Auto,18854,Petrol,58.9,1.4
 Octavia,2018,12298,Manual,19756,Diesel,68.9,1.6
 Octavia,2018,11798,Manual,18244,Diesel,68.9,1.6
 Superb,2019,16498,Semi-Auto,8948,Diesel,51.4,1.6
 Fabia,2018,9298,Manual,8680,Petrol,57.7,1.0
 Karoq,2019,17995,Manual,3300,Petrol,44.1,1.0
 Yeti Outdoor,2017,11455,Manual,31343,Petrol,51.4,1.2
 Superb,2018,14560,Automatic,29130,Diesel,62.8,2.0
 Yeti Outdoor,2016,11677,Semi-Auto,27200,Petrol,51.4,1.2
 Octavia,2018,13995,Manual,12390,Diesel,65.7,2.0
 Fabia,2015,6800,Manual,26300,Diesel,83.1,1.4
 Octavia,2015,9991,Semi-Auto,64199,Diesel,62.8,2.0
 Scala,2019,15995,Manual,4890,Petrol,49.6,1.0
 Superb,2019,29995,Semi-Auto,3890,Petrol,30.1,2.0
 Octavia,2016,10650,Manual,19461,Diesel,74.3,1.6
 Fabia,2019,13950,Manual,4478,Petrol,60.1,1.0
 Yeti,2015,9995,Manual,48870,Diesel,48.7,2.0
 Fabia,2017,11999,Semi-Auto,12915,Petrol,61.4,1.0
 Yeti Outdoor,2016,10995,Semi-Auto,58221,Petrol,51.4,1.2
 Citigo,2018,7995,Manual,3150,Petrol,64.2,1.0
 Scala,2020,19995,Semi-Auto,1000,Petrol,45.6,1.5
 Fabia,2017,11995,Manual,23968,Petrol,64.2,1.0
 Octavia,2019,17995,Manual,5000,Petrol,50.4,1.5
 Superb,2017,18995,Semi-Auto,23000,Diesel,61.4,2.0
 Kodiaq,2019,30995,Semi-Auto,9500,Diesel,37.2,2.0
 Kamiq,2019,20995,Semi-Auto,3000,Petrol,43.5,1.5
 Fabia,2019,13850,Manual,5501,Petrol,60.1,1.0
 Octavia,2017,12350,Semi-Auto,36955,Petrol,56.5,1.4
 Fabia,2017,9650,Manual,5135,Petrol,58.8,1.2
 Fabia,2019,13850,Manual,5501,Petrol,60.1,1.0
 Octavia,2017,12350,Semi-Auto,36955,Petrol,56.5,1.4
 Fabia,2019,11899,Manual,14333,Petrol,61.4,1.0
 Yeti Outdoor,2016,11350,Semi-Auto,28733,Petrol,51.4,1.2
 Karoq,2018,15995,Manual,5165,Petrol,53.3,1.0
 Citigo,2018,8250,Manual,17353,Petrol,64.2,1.0
 Karoq,2018,15749,Manual,16135,Petrol,53.3,1.0
 Yeti,2016,11355,Manual,13757,Petrol,51.4,1.2
 Citigo,2017,5995,Manual,44777,Petrol,64.2,1.0
 Fabia,2019,9999,Manual,12300,Petrol,57.7,1.0
 Fabia,2017,9650,Manual,5135,Petrol,58.8,1.2
 Citigo,2018,8250,Manual,17353,Petrol,64.2,1.0
 Fabia,2019,13850,Manual,4814,Petrol,60.1,1.0
 Fabia,2018,11795,Manual,3275,Petrol,61.4,1.0
 Yeti Outdoor,2017,11455,Manual,31343,Petrol,51.4,1.2
 Yeti,2016,11355,Manual,13757,Petrol,51.4,1.2
 Kodiaq,2018,24490,Automatic,7834,Diesel,42.2,2.0
 Fabia,2019,11899,Manual,14333,Petrol,61.4,1.0
 Yeti Outdoor,2016,11350,Semi-Auto,28733,Petrol,51.4,1.2
 Fabia,2016,10850,Semi-Auto,20740,Petrol,60.1,1.2
 Citigo,2017,5995,Manual,44777,Petrol,64.2,1.0
 Yeti Outdoor,2016,11067,Manual,27392,Diesel,62.8,2.0
 Superb,2018,17067,Manual,14238,Petrol,54.3,1.4
 Citigo,2014,4991,Manual,58104,Petrol,62.8,1.0
 Octavia,2016,10197,Semi-Auto,29092,Diesel,76.4,1.6
 Fabia,2016,10850,Semi-Auto,20740,Petrol,60.1,1.2
 Octavia,2018,11498,Manual,33339,Diesel,68.9,1.6
 Yeti Outdoor,2017,11998,Semi-Auto,38382,Petrol,51.4,1.2
 Yeti Outdoor,2015,9998,Semi-Auto,20450,Petrol,51.4,1.2
 Fabia,2020,14999,Manual,1800,Petrol,50.4,1.0
 Fabia,2019,12999,Manual,5115,Petrol,51.4,1.0
 Yeti,2015,9995,Manual,48870,Diesel,48.7,2.0
 Fabia,2017,11999,Semi-Auto,12915,Petrol,61.4,1.0
 Fabia,2019,13950,Manual,4478,Petrol,60.1,1.0
 Fabia,2019,9999,Manual,12300,Petrol,57.7,1.0
 Octavia,2016,10650,Manual,19461,Diesel,74.3,1.6
 Fabia,2019,13850,Manual,4814,Petrol,60.1,1.0
 Scala,2019,17495,Semi-Auto,8121,Diesel,54.3,1.6
 Fabia,2019,11490,Manual,14757,Petrol,61.4,1.0
 Superb,2019,20790,Automatic,9770,Petrol,36.7,1.5
 Citigo,2016,5690,Manual,36969,Petrol,62.8,1.0
 Yeti,2016,11490,Semi-Auto,26254,Petrol,51.4,1.2
 Kodiaq,2018,21990,Manual,8941,Diesel,52.3,2.0
 Yeti Outdoor,2017,12490,Semi-Auto,43358,Petrol,51.4,1.2
 Fabia,2019,13290,Semi-Auto,14714,Petrol,60.1,1.0
 Fabia,2019,13490,Semi-Auto,11957,Petrol,60.1,1.0
 Yeti Outdoor,2016,11759,Manual,28711,Diesel,62.8,2.0
 Fabia,2016,8485,Manual,35089,Petrol,60.1,1.2
 Fabia,2019,12999,Manual,3944,Petrol,52.3,1.0
 Fabia,2018,9298,Manual,8788,Petrol,57.7,1.0
 Octavia,2018,12498,Manual,15317,Diesel,68.9,1.6
 Octavia,2017,13998,Semi-Auto,8139,Petrol,57.7,1.4
 Superb,2016,15770,Manual,50041,Diesel,67.3,2.0
 Citigo,2013,4995,Manual,44000,Petrol,62.8,1.0
 Scala,2019,17495,Semi-Auto,8121,Diesel,54.3,1.6
 Yeti Outdoor,2016,11759,Manual,28711,Diesel,62.8,2.0
 Fabia,2016,8485,Manual,35089,Petrol,60.1,1.2
 Fabia,2019,12999,Manual,3944,Petrol,52.3,1.0
 Fabia,2019,11999,Manual,3993,Petrol,60.1,1.0
 Octavia,2019,15999,Manual,5660,Diesel,56.5,1.6
 Kodiaq,2019,31750,Automatic,17531,Diesel,35.3,2.0
 Octavia,2019,16450,Semi-Auto,3815,Diesel,67.3,2.0
 Fabia,2019,8995,Manual,7927,Petrol,50.4,1.0
 Octavia,2019,13995,Manual,11840,Petrol,55.4,1.5
 Fabia,2019,11959,Manual,13046,Petrol,61.4,1.0
 Octavia,2019,14550,Semi-Auto,7718,Petrol,55.4,1.5
 Superb,2018,18650,Manual,6515,Petrol,40.9,1.5
 Yeti Outdoor,2017,14190,Manual,29811,Petrol,51.4,1.2
 Fabia,2017,10490,Semi-Auto,16969,Petrol,60.1,1.2
 Fabia,2019,11999,Manual,3993,Petrol,60.1,1.0
 Kamiq,2019,19250,Semi-Auto,2197,Petrol,44.1,1.5
 Scala,2020,18250,Manual,3543,Petrol,49.6,1.0
 Scala,2020,17650,Semi-Auto,4112,Petrol,45.6,1.5
 Kodiaq,2018,24695,Semi-Auto,21343,Diesel,56.5,2.0
 Fabia,2019,12250,Manual,5036,Petrol,61.4,1.0
 Kodiaq,2020,30850,Manual,2000,Diesel,52.3,2.0
 Octavia,2017,15999,Manual,21500,Diesel,62.8,2.0
 Citigo,2017,6999,Manual,13000,Petrol,68.9,1.0
 Fabia,2019,12999,Manual,5115,Petrol,51.4,1.0
 Octavia,2019,15999,Manual,5660,Diesel,56.5,1.6
 Kamiq,2019,19250,Semi-Auto,2197,Petrol,44.1,1.5
 Scala,2020,18250,Manual,3543,Petrol,49.6,1.0
 Fabia,2017,10290,Manual,22154,Petrol,58.9,1.2
 Yeti,2013,8990,Semi-Auto,46569,Petrol,44.1,1.2
 Fabia,2018,9298,Manual,8031,Petrol,57.7,1.0
 Octavia,2017,12698,Semi-Auto,25203,Petrol,57.7,1.4
 Octavia,2018,12498,Manual,17235,Diesel,68.9,1.6
 Octavia,2019,12498,Semi-Auto,26497,Diesel,72.4,1.6
 Fabia,2015,6999,Manual,34601,Petrol,58.8,1.2
 Fabia,2018,9899,Manual,6410,Petrol,60.1,1.0
 Karoq,2019,18990,Manual,10,Petrol,43.5,1.0
 Kodiaq,2019,28990,Automatic,11,Diesel,39.2,2.0
 Karoq,2019,18990,Manual,9,Petrol,43.5,1.0
 Kodiaq,2019,23990,Automatic,18,Diesel,45.6,2.0
 Fabia,2018,10699,Manual,7205,Petrol,61.4,1.0
 Citigo,2013,6197,Automatic,31598,Petrol,62.8,1.0
 Fabia,2017,8160,Manual,22455,Petrol,60.1,1.2
 Kodiaq,2017,23000,Manual,11000,Petrol,40.9,1.4
 Octavia,2014,9200,Manual,34365,Diesel,74.3,1.6
 Octavia,2017,11000,Semi-Auto,35555,Petrol,62.8,1.0
 Yeti Outdoor,2017,14998,Semi-Auto,9449,Petrol,51.4,1.2
 Octavia,2019,15498,Semi-Auto,6003,Diesel,72.4,1.6
 Octavia,2017,10900,Manual,22780,Petrol,54.3,1.4
 Rapid,2017,7450,Manual,55115,Diesel,74.3,1.6
 Kodiaq,2019,31750,Automatic,17531,Diesel,35.3,2.0
 Octavia,2019,16450,Automatic,3815,Diesel,67.3,2.0
 Fabia,2019,8995,Manual,7927,Petrol,50.4,1.0
 Octavia,2019,13995,Manual,11840,Petrol,55.4,1.5
 Fabia,2019,11959,Manual,13046,Petrol,61.4,1.0
 Octavia,2019,14550,Automatic,7718,Petrol,55.4,1.5
 Superb,2018,18650,Manual,6515,Petrol,40.9,1.5
 Fabia,2018,11795,Manual,3275,Petrol,61.4,1.0
 Scala,2020,17650,Semi-Auto,4112,Petrol,45.6,1.5
 Kodiaq,2018,24695,Automatic,21343,Diesel,56.5,2.0
 Fabia,2019,12250,Manual,5036,Petrol,61.4,1.0
 Scala,2020,18245,Manual,1309,Diesel,57.7,1.6
 Kodiaq,2020,30850,Manual,2000,Diesel,52.3,2.0
 Octavia,2019,16990,Manual,5143,Diesel,54.3,2.0
 Octavia,2017,16490,Semi-Auto,36256,Diesel,55.4,2.0
 Kodiaq,2019,23990,Automatic,11,Petrol,37.2,1.5
 Karoq,2018,18800,Manual,19156,Diesel,56.5,2.0
 Citigo,2017,7990,Manual,11050,Petrol,68.9,1.0
 Kodiaq,2018,22990,Automatic,27000,Petrol,39.8,1.4
 Octavia,2019,15495,Semi-Auto,3322,Petrol,57.7,1.0
 Octavia,2019,15495,Manual,10303,Petrol,52.3,1.5
 Fabia,2019,9995,Manual,8583,Petrol,57.7,1.0
 Octavia,2020,22990,Semi-Auto,50,Petrol,44.8,1.5
 Kodiaq,2020,33990,Automatic,2250,Diesel,39.2,2.0
 Kodiaq,2020,38990,Automatic,493,Diesel,34.9,2.0
 Scala,2019,17490,Automatic,8347,Diesel,54.3,1.6
 Octavia,2019,16990,Manual,3842,Diesel,54.3,2.0
 Superb,2018,19990,Semi-Auto,19583,Petrol,43.5,2.0
 Fabia,2019,12990,Semi-Auto,14175,Petrol,60.1,1.0
 Octavia,2019,13490,Semi-Auto,16045,Petrol,61.4,1.0
 Octavia,2017,12500,Semi-Auto,20384,Petrol,57.7,1.4
 Kodiaq,2019,33850,Semi-Auto,1136,Diesel,35.3,2.0
 Superb,2019,26490,Semi-Auto,6079,Petrol,38.2,2.0
 Superb,2019,27900,Semi-Auto,6780,Petrol,33.2,2.0
 Superb,2016,19390,Semi-Auto,17783,Diesel,60.1,2.0
 Superb,2018,20790,Manual,17301,Diesel,64.2,2.0
 Fabia,2015,9390,Semi-Auto,23408,Petrol,60.1,1.2
 Yeti Outdoor,2015,10499,Manual,23070,Diesel,53.3,2.0
 Yeti Outdoor,2016,11299,Manual,16434,Petrol,51.4,1.2
 Superb,2016,10999,Manual,67601,Diesel,67.3,2.0
 Superb,2019,25995,Semi-Auto,11,Petrol,38.2,2.0
 Fabia,2017,11995,Semi-Auto,4385,Petrol,60.1,1.2
 Octavia,2019,19995,Semi-Auto,5375,Diesel,44.8,2.0
 Scala,2019,14995,Manual,2688,Petrol,49.6,1.0
 Fabia,2017,10995,Semi-Auto,20912,Petrol,61.4,1.0
 Rapid,2017,10995,Manual,83,Diesel,67.3,1.6
 Superb,2020,33990,Semi-Auto,3500,Hybrid,188.3,1.4
 Karoq,2019,17990,Manual,5600,Petrol,43.5,1.0
 Octavia,2019,18990,Manual,5199,Diesel,67.3,1.6
 Kodiaq,2019,28950,Automatic,7040,Diesel,39.2,2.0
 Octavia,2019,18300,Manual,3510,Petrol,48.7,1.5
 Kamiq,2019,19290,Manual,2366,Petrol,47.1,1.0
 Kamiq,2019,18990,Semi-Auto,2442,Petrol,44.1,1.5
 Octavia,2019,16995,Semi-Auto,11514,Petrol,44.8,1.5
 Fabia,2017,7995,Manual,19947,Petrol,60.1,1.2
 Superb,2019,17990,Manual,6152,Diesel,65.7,2.0
 Fabia,2019,11490,Manual,7948,Petrol,61.4,1.0
 Fabia,2013,7999,Manual,26702,Petrol,53.3,1.2
 Octavia,2016,11930,Semi-Auto,36400,Diesel,64.2,2.0
 Fabia,2018,9480,Manual,9869,Petrol,64.2,1.0
 Superb,2017,13950,Manual,56769,Diesel,60.1,2.0
 Citigo,2016,5990,Manual,15880,Petrol,62.8,1.0
 Fabia,2016,7070,Manual,60250,Diesel,76.4,1.4
 Superb,2019,24985,Automatic,6478,Petrol,38.2,2.0
 Kodiaq,2019,28985,Automatic,7414,Diesel,39.2,2.0
 Superb,2019,23485,Semi-Auto,11978,Petrol,38.2,2.0
 Kodiaq,2019,28485,Automatic,11104,Diesel,39.2,2.0
 Superb,2019,23985,Semi-Auto,5199,Petrol,38.2,2.0
 Kodiaq,2019,27985,Automatic,8630,Petrol,31.7,2.0
 Yeti Outdoor,2014,12985,Manual,22555,Diesel,49.6,2.0
 Yeti Outdoor,2017,16250,Semi-Auto,16500,Diesel,51.4,2.0
 Fabia,2019,11850,Manual,14572,Petrol,61.4,1.0
 Octavia,2019,14150,Manual,13691,Petrol,58.9,1.0
 Octavia,2019,14390,Manual,13782,Petrol,58.9,1.0
 Fabia,2019,9990,Manual,11715,Petrol,57.7,1.0
 Superb,2019,21990,Semi-Auto,2503,Diesel,54.3,2.0
 Karoq,2019,19150,Manual,9,Petrol,43.5,1.0
 Karoq,2019,16495,Manual,2304,Petrol,48.7,1.5
 Fabia,2017,11495,Semi-Auto,25840,Petrol,60.1,1.2
 Octavia,2017,15995,Semi-Auto,40442,Diesel,55.4,2.0
 Citigo,2017,6495,Manual,20591,Petrol,64.2,1.0
 Fabia,2017,11495,Semi-Auto,20912,Petrol,60.1,1.2
 Karoq,2020,21495,Automatic,508,Petrol,41.5,1.5
 Octavia,2018,11495,Manual,31602,Diesel,68.9,1.6
 Octavia,2017,10295,Manual,28211,Petrol,58.9,1.0
 Superb,2017,18995,Semi-Auto,13000,Petrol,45.6,2.0
 Kodiaq,2019,24795,Automatic,7710,Petrol,34.0,1.5
 Octavia,2019,15495,Manual,8922,Petrol,52.3,1.5
 Octavia,2019,15495,Manual,13413,Petrol,52.3,1.5
 Octavia,2019,15195,Manual,14781,Petrol,52.3,1.5
 Octavia,2019,15995,Manual,7125,Petrol,52.3,1.5
 Citigo,2018,7495,Manual,28000,Petrol,64.2,1.0
 Yeti Outdoor,2016,11995,Manual,27400,Petrol,51.4,1.2
 Scala,2019,14995,Manual,3431,Petrol,49.6,1.0
 Fabia,2017,9995,Manual,15232,Petrol,58.9,1.2
 Octavia,2016,13495,Manual,47271,Diesel,62.8,2.0
 Kodiaq,2019,13398,Manual,12300,Petrol,49.6,1.5
 Kodiaq,2019,23995,Manual,13,Diesel,42.2,2.0
 Fabia,2017,8995,Manual,20465,Petrol,60.1,1.2
 Fabia,2017,11995,Semi-Auto,6322,Petrol,60.1,1.2
 Octavia,2016,14195,Semi-Auto,31668,Diesel,60.1,2.0
 Superb,2019,25495,Semi-Auto,13,Petrol,38.2,2.0
 Fabia,2017,11495,Semi-Auto,9819,Petrol,60.1,1.2
 Karoq,2020,22995,Manual,1079,Petrol,42.2,1.5
 Yeti Outdoor,2015,12495,Semi-Auto,25473,Diesel,51.4,2.0
 Citigo,2018,8995,Manual,12516,Petrol,68.9,1.0
 Octavia,2020,18495,Manual,621,Petrol,48.7,1.5
 Fabia,2017,7270,Manual,18268,Petrol,57.7,1.0
 Fabia,2017,9180,Semi-Auto,29046,Petrol,60.1,1.2
 Fabia,2019,10160,Manual,7176,Petrol,61.4,1.0
 Yeti Outdoor,2017,11940,Semi-Auto,36482,Petrol,51.4,1.2
 Yeti Outdoor,2017,12860,Semi-Auto,22929,Petrol,51.4,1.2
 Superb,2016,12440,Semi-Auto,52405,Diesel,62.8,2.0
 Fabia,2016,11147,Automatic,8441,Petrol,60.1,1.2
 Kodiaq,2018,17470,Manual,19277,Petrol,46.3,1.4
 Citigo,2016,5699,Manual,24026,Petrol,62.8,1.0
 Fabia,2016,6995,Manual,35259,Petrol,60.1,1.2
 Superb,2017,18495,Semi-Auto,10671,Diesel,60.1,2.0
 Fabia,2017,7995,Manual,18500,Petrol,60.1,1.2
 Superb,2019,21995,Semi-Auto,5037,Diesel,62.8,2.0
 Superb,2020,22995,Semi-Auto,42,Petrol,36.7,1.5
 Superb,2020,24995,Semi-Auto,42,Petrol,39.8,1.5
 Octavia,2019,17995,Manual,982,Petrol,47.9,1.5
 Octavia,2019,17395,Manual,6785,Petrol,48.7,1.5
 Fabia,2017,10495,Semi-Auto,8556,Petrol,61.4,1.0
 Octavia,2019,16995,Manual,4375,Petrol,48.7,1.5
 Karoq,2019,25990,Manual,50,Diesel,42.8,2.0
 Octavia,2019,15690,Automatic,2572,Diesel,72.4,1.6
 Octavia,2019,16990,Automatic,3387,Diesel,70.6,1.6
 Scala,2019,16495,Semi-Auto,2838,Petrol,45.6,1.5
 Fabia,2017,10995,Semi-Auto,23889,Petrol,60.1,1.2
 Superb,2020,23495,Semi-Auto,111,Diesel,53.3,2.0
 Kodiaq,2018,24990,Automatic,21356,Diesel,49.6,2.0
 Citigo,2019,8790,Manual,3929,Petrol,67.3,1.0
 Octavia,2019,20390,Automatic,4609,Petrol,35.8,2.0
 Fabia,2019,8990,Manual,4260,Petrol,57.7,1.0
 Superb,2019,23790,Semi-Auto,50,Petrol,38.2,2.0
 Octavia,2019,13990,Manual,5082,Diesel,68.9,1.6
 Octavia,2019,17990,Automatic,7126,Diesel,64.2,2.0
 Karoq,2019,18495,Manual,2831,Petrol,43.5,1.0
 Karoq,2019,19995,Manual,6432,Petrol,42.8,1.5
 Superb,2017,18495,Semi-Auto,12614,Diesel,60.1,2.0
 Fabia,2018,13495,Semi-Auto,9136,Petrol,60.1,1.0
 Rapid,2018,11495,Semi-Auto,2736,Petrol,61.4,1.0
 Fabia,2017,10995,Semi-Auto,4378,Petrol,61.4,1.0
 Kodiaq,2019,30495,Automatic,5618,Diesel,37.2,2.0
 Octavia,2017,11390,Manual,26856,Petrol,55.4,1.4
 Fabia,2018,9790,Manual,9481,Petrol,64.2,1.0
 Citigo,2017,6190,Manual,36969,Petrol,64.2,1.0
 Fabia,2017,8290,Manual,29988,Petrol,60.1,1.2
 Fabia,2017,8390,Manual,14363,Petrol,64.2,1.0
 Karoq,2019,25990,Manual,2051,Diesel,42.8,2.0
 Citigo,2019,9990,Manual,4559,Petrol,67.3,1.0
 Octavia,2019,14990,Manual,17,Diesel,68.9,1.6
 Fabia,2019,9990,Manual,5919,Petrol,57.7,1.0
 Superb,2019,25990,Semi-Auto,7052,Diesel,47.1,2.0
 Superb,2018,14990,Manual,13340,Petrol,54.3,1.4
 Octavia,2014,6800,Manual,71000,Diesel,74.3,1.6
 Yeti Outdoor,2014,10770,Semi-Auto,53164,Diesel,44.8,2.0
 Fabia,2019,8270,Manual,12841,Petrol,57.7,1.0
 Yeti Outdoor,2016,10377,Manual,21230,Diesel,62.8,2.0
 Citigo,2015,6210,Manual,25297,Petrol,62.8,1.0
 Citigo,2018,7895,Manual,14944,Petrol,65.7,1.0
 Citigo,2018,7895,Manual,14944,Petrol,65.7,1.0
 Octavia,2015,9500,Manual,14024,Petrol,53.3,1.4
 Octavia,2019,14995,Semi-Auto,10925,Diesel,70.6,1.6
 Superb,2016,10499,Manual,83802,Diesel,68.9,2.0
 Yeti Outdoor,2017,14890,Manual,23768,Petrol,51.4,1.2
 Octavia,2019,16500,Automatic,7385,Diesel,67.3,2.0
 Fabia,2015,7550,Manual,19000,Petrol,58.8,1.0
 Octavia,2020,16950,Semi-Auto,4318,Diesel,72.4,1.6
 Yeti Outdoor,2017,12950,Manual,7359,Diesel,62.8,2.0
 Fabia,2016,8495,Manual,27774,Petrol,60.1,1.2
 Fabia,2013,6495,Manual,48666,Diesel,67.3,1.2
 Fabia,2016,8995,Manual,37800,Petrol,60.1,1.2
 Fabia,2017,9990,Manual,23744,Petrol,64.2,1.0
 Yeti Outdoor,2017,14650,Manual,16899,Diesel,62.8,2.0
 Yeti Outdoor,2017,14950,Manual,19627,Diesel,62.8,2.0
 Octavia,2017,16450,Semi-Auto,39284,Diesel,57.7,2.0
 Fabia,2017,8750,Manual,15328,Petrol,60.1,1.2
 Yeti Outdoor,2017,16590,Manual,24188,Petrol,44.8,1.4
 Fabia,2017,9450,Semi-Auto,39710,Petrol,60.1,1.2
 Octavia,2017,12250,Manual,30452,Diesel,65.7,2.0
 Kodiaq,2019,26490,Automatic,17265,Diesel,37.2,2.0
 Octavia,2017,15690,Manual,20596,Diesel,62.8,2.0
 Fabia,2019,13990,Semi-Auto,1356,Petrol,60.1,1.0
